Sr No,Cases,Party Name,Advocate
""
APPEARANCE OF PARTY
1,ViewM.C./101/2025Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,R. J. Baradur
HEARING
2,ViewR.A./170/2022Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,LAXMAN B PATTAR
3,ViewR.A./79/2024Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,PULIKESHI RACHAPPA PAVATE
EVIDENCE
4,ViewM.C./66/2024Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,SHIVAKUMAR CHANDRASHEKHAR HIREMATH
ARGUMENTS
5,ViewR.A./13/2024Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,KRISHAN SHRINIVAS DESHPANDERAVI SHIVAYOGEPPA BARAGUNDI
6,ViewR.A./50/2024Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,"K.S.DESHAPANDE,"
7,ViewM.C./88/2024Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,A. S. Yadawad
8,ViewR.A./10/2025Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,Mahanatesh Hiremath
9,ViewM.C./73/2025Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,RAMESH R BADNUR
10,ViewM.C./113/2025Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,SUNIL PARASHURAM KIRASUR
OBJECTIONS
11,ViewM.C./68/2025Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,Shrikant Hiremath
12,ViewO.S./10/2024Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,S Gavi
13,ViewG  and WC/5/2025Next hearing date:- 18-10-2025,XXXXXXXversusXXXXXXX,ATMANAND BALAPPA JALIHAL
